"Pos","Comp","Date","Match","Score","Goalkeeper","Goalscorer","Min","Part"
124,"SerA","5/15/1955","Milan - Juventus","3 - 1","Viola G.","Nordhal G.",39,"1 - 1"
125,"SerA","5/15/1955","Milan - Juventus","3 - 1","Viola G.","Nordhal G.","71","2 - 1"
126,"SerA","5/15/1955","Milan - Juventus","3 - 1","Viola G.","Liedholm","79","3 - 1"
127,"SerA","12/26/1955","Milan - Juventus","3 - 1","Viola G.","Ricagni",31,"1 - 0"
128,"SerA","12/26/1955","Milan - Juventus","3 - 1","Viola G.","Schiaffino",37,"2 - 0"
129,"SerA","12/26/1955","Milan - Juventus","3 - 1","Viola G.","Schiaffino","62","3 - 1"
130,"SerA","11/25/1956","Juventus - Milan","0 - 1","Vavassori","Bredesen","86","0 - 1"
131,"SerA","3/31/1957","Milan - Juventus","4 - 1","Viola G.","Nay Ce. og.",27,"1 - 0"
132,"SerA","3/31/1957","Milan - Juventus","4 - 1","Viola G.","Galli","50","2 - 0"
133,"SerA","3/31/1957","Milan - Juventus","4 - 1","Viola G.","Bredesen","53","3 - 0"
134,"SerA","3/31/1957","Milan - Juventus","4 - 1","Viola G.","Liedholm pen.","62","4 - 0"
135,"SerA","10/20/1957","Milan - Juventus","1 - 1","Mattrel","Bean","59","1 - 1"
136,"SerA","11/16/1958","Juventus - Milan","4 - 5","Mattrel","Grillo",24,"0 - 1"
137,"SerA","11/16/1958","Juventus - Milan","4 - 5","Mattrel","Galli",30,"0 - 2"
138,"SerA","11/16/1958","Juventus - Milan","4 - 5","Mattrel","Altafini",33,"0 - 3"
139,"SerA","11/16/1958","Juventus - Milan","4 - 5","Mattrel","Altafini","66","2 - 4"
140,"SerA","11/16/1958","Juventus - Milan","4 - 5","Mattrel","Grillo","91","4 - 5"
141,"SerA","3/29/1959","Milan - Juventus","1 - 1","Vavassori","Altafini","47","1 - 0"
142,"SerA","5/15/1960","Juventus - Milan","3 - 1","Vavassori","Altafini","56","1 - 1"
143,"SerA","11/6/1960","Juventus - Milan","3 - 4","Vavassori","Altafini",1,"0 - 1"
144,"SerA","11/6/1960","Juventus - Milan","3 - 4","Vavassori","Vernazza",9,"0 - 2"
145,"SerA","11/6/1960","Juventus - Milan","3 - 4","Vavassori","Altafini","50","0 - 3"
146,"SerA","11/6/1960","Juventus - Milan","3 - 4","Vavassori","Rivera","59","1 - 4"
147,"SerA","3/12/1961","Milan - Juventus","3 - 1","Vavassori","Colombo U. og.",14,"1 - 1"
148,"SerA","3/12/1961","Milan - Juventus","3 - 1","Vavassori","Altafini","56","2 - 1"
149,"SerA","3/12/1961","Milan - Juventus","3 - 1","Vavassori","Rivera","88","3 - 1"
150,"SerA","11/12/1961","Milan - Juventus","5 - 1","Anzolin","Altafini",3,"1 - 0"
151,"SerA","11/12/1961","Milan - Juventus","5 - 1","Anzolin","Altafini",8,"2 - 0"
